매장명,주소,위도,경도,전화번호
올리브영 명동 플래그십,서울특별시 중구 명동길 53,37.5645,126.9842,02-736-5290
올리브영 강남역점,서울특별시 강남구 강남대로 422,37.5005,127.0270,02-532-5290
올리브영 홍대타운점,서울특별시 마포구 양화로 156,37.5559,126.9215,02-3144-5290
올리브영 성수역점,서울특별시 성동구 아차산로 104,37.5446,127.0559,02-461-5290
올리브영 한남점,서울특별시 용산구 독서당로 85,37.5348,127.0090,02-790-5290
올리브영 부산서면점,부산광역시 부산진구 중앙대로 692,35.1545,129.0595,051-803-5290
올리브영 제주시청점,제주특별자치도 제주시 중앙로 232,33.5001,126.5312,064-725-5290
올리브영 광주충장로점,광주광역시 동구 충장로 84,35.1485,126.9175,062-223-5290
올리브영 대구중앙대로점,대구광역시 중구 중앙대로 412,35.8700,128.5940,053-424-5290
올리브영 대전은행동점,대전광역시 중구 중앙로 164,36.3285,127.4275,042-252-5290
