장소명,주소,위도,경도,카테고리,특징
명동성당,서울특별시 중구 명동길 74,37.5633,126.9873,역사/종교,사진 찍기 좋은 곳
남산타워,서울특별시 용산구 남산공원길 105,37.5511,126.9882,랜드마크,서울 전경 관람
경복궁,서울특별시 종로구 사직로 161,37.5796,126.9770,역사,한복 체험 필수
스타필드 코엑스몰,서울특별시 강남구 영동대로 513,37.5119,127.0589,쇼핑/문화,별마당 도서관 추천
연트럴파크,서울특별시 마포구 양화로 186,37.5598,126.9237,공원/휴식,피크닉하기 좋음
성수동 카페거리,서울특별시 성동구 성수이로 78,37.5435,127.0545,카페/문화,팝업스토어 성지
덕수궁 돌담길,서울특별시 중구 세종대로 99,37.5658,126.9751,산책로,밤산책 추천
광장시장,서울특별시 종로구 창경궁로 88,37.5701,126.9992,전통시장,먹거리 투어
서울숲,서울특별시 성동구 뚝섬로 273,37.5443,127.0374,공원,자전거 타기 좋음
익선동 한옥마을,서울특별시 종로구 익선동,37.5743,126.9892,관광지,이색적인 카페와 상점
